trial_id,train_loss,test_loss,training_iteration,train_losses,test_losses,timestamp,checkpoint_dir_name,should_checkpoint,done,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,experiment_tag,config/datasets,config/pred_token,config/use_lstm,config/positional_learnable
5518e_00000,0.0005353363407631847,0.0009848025807163172,6,"[0.0010899586167782123, 0.0006503952974327278, 0.0013345123502742752, 0.0005752881067252543, 0.0005695193244695889, 0.0005353363407631847]","[0.003624624955026727, 0.003144492720601553, 0.001024208092749268, 0.0035478477191208, 0.0008059195707316387, 0.0009848025807163172]",1735474443,checkpoint_000005,True,True,2024-12-29_12-14-03,3.2500674724578857,23.54620885848999,833,23d65e8eecf9,172.18.0.2,23.54620885848999,6,"0_datasets=brush_96_96_train_s_mixed_brush_96_96_test_s_mixed,positional_learnable=False,pred_token=True,use_lstm=False","('brush_96.96_train_s_mixed', 'brush_96.96_test_s_mixed')",True,False,False
5518e_00001,0.01178330463853329,0.012950250917210018,2,"[0.0010277662996011215, 0.01178330463853329]","[0.03977973957109571, 0.012950250917210018]",1735474456,checkpoint_000001,True,True,2024-12-29_12-14-16,3.231837272644043,10.070225715637207,959,23d65e8eecf9,172.18.0.2,10.070225715637207,2,"1_datasets=brush_96_96_train_s_mixed_brush_96_96_test_s_mixed,positional_learnable=True,pred_token=False,use_lstm=False","('brush_96.96_train_s_mixed', 'brush_96.96_test_s_mixed')",False,False,True
5518e_00002,0.0005660596310396895,0.002808734826874315,6,"[0.0011816724321888057, 0.0006866640339360858, 0.0012810678521153003, 0.0004684915906508538, 0.0004713651247484682, 0.0005660596310396895]","[0.0040711085001627605, 0.0025349045755869164, 0.0020988531279982183, 0.0012530185823751273, 0.0007122444927244258, 0.002808734826874315]",1735474482,checkpoint_000005,True,True,2024-12-29_12-14-42,3.2222402095794678,23.406902313232422,1020,23d65e8eecf9,172.18.0.2,23.406902313232422,6,"2_datasets=brush_96_96_train_s_mixed_brush_96_96_test_s_mixed,positional_learnable=True,pred_token=True,use_lstm=False","('brush_96.96_train_s_mixed', 'brush_96.96_test_s_mixed')",True,False,True
5518e_00003,0.020084200184472756,0.034218606972754154,2,"[0.002364047961807636, 0.020084200184472756]","[0.05470629240337171, 0.034218606972754154]",1735474495,checkpoint_000001,True,True,2024-12-29_12-14-55,3.380251884460449,9.079641580581665,1086,23d65e8eecf9,172.18.0.2,9.079641580581665,2,"3_datasets=brush_96_96_train_s_aug_brush_96_96_test_s_aug,positional_learnable=False,pred_token=False,use_lstm=True","('brush_96.96_train_s_aug', 'brush_96.96_test_s_aug')",False,True,False
5518e_00004,0.0011573069992989271,0.006338254789959518,4,"[0.00210861072290076, 0.0014222304587648085, 0.0026181054524287927, 0.0011573069992989271]","[0.00732192419525376, 0.006252647342538475, 0.002526634856871794, 0.006338254789959518]",1735474515,checkpoint_000003,True,True,2024-12-29_12-15-15,3.1925318241119385,17.78277587890625,1146,23d65e8eecf9,172.18.0.2,17.78277587890625,4,"4_datasets=brush_96_96_train_s_aug_brush_96_96_test_s_aug,positional_learnable=False,pred_token=True,use_lstm=False","('brush_96.96_train_s_aug', 'brush_96.96_test_s_aug')",True,False,False
5518e_00005,0.001197332570819874,0.007895771781902266,4,"[0.0018459290235964007, 0.0017358158479184363, 0.0026520513501826497, 0.001197332570819874]","[0.009349249359360315, 0.005551501682826451, 0.001770568551276262, 0.007895771781902266]",1735474539,checkpoint_000003,True,True,2024-12-29_12-15-39,5.826935768127441,20.195431232452393,1210,23d65e8eecf9,172.18.0.2,20.195431232452393,4,"5_datasets=brush_96_96_train_s_aug_brush_96_96_test_s_aug,positional_learnable=True,pred_token=True,use_lstm=False","('brush_96.96_train_s_aug', 'brush_96.96_test_s_aug')",True,False,True
5518e_00006,0.039174134748133596,0.018971091822574015,2,"[0.0016292624709343935, 0.039174134748133596]","[0.12990289750254544, 0.018971091822574015]",1735474553,checkpoint_000001,True,True,2024-12-29_12-15-53,4.790825605392456,10.312201261520386,1274,23d65e8eecf9,172.18.0.2,10.312201261520386,2,"6_datasets=brush_96_96_train_s_aug_brush_96_96_test_s_aug,positional_learnable=True,pred_token=False,use_lstm=False","('brush_96.96_train_s_aug', 'brush_96.96_test_s_aug')",False,False,True
5518e_00007,0.0005197242320580123,0.0014678085059450384,6,"[0.0011752005594831579, 0.0009134703425344553, 0.001177019127082163, 0.0004626253958719832, 0.0005487054050701795, 0.0005197242320580123]","[0.006023138328303669, 0.002583574710931993, 0.0012019525494491846, 0.0014159938745331347, 0.0009086832964330687, 0.0014678085059450384]",1735474591,checkpoint_000005,True,True,2024-12-29_12-16-32,3.2203454971313477,35.33853554725647,1335,23d65e8eecf9,172.18.0.2,35.33853554725647,6,"7_datasets=brush_96_96_train_s_mixed_brush_96_96_test_s_mixed,positional_learnable=True,pred_token=True,use_lstm=False","('brush_96.96_train_s_mixed', 'brush_96.96_test_s_mixed')",True,False,True
5518e_00008,0.0186509210334416,0.02718948517228129,2,"[0.0019276009799252846, 0.0186509210334416]","[0.05434934764278861, 0.02718948517228129]",1735474603,checkpoint_000001,True,True,2024-12-29_12-16-44,3.251607656478882,8.902631282806396,1404,23d65e8eecf9,172.18.0.2,8.902631282806396,2,"8_datasets=brush_96_96_train_s_unaug_brush_96_96_test_s_unaug,positional_learnable=True,pred_token=False,use_lstm=False","('brush_96.96_train_s_unaug', 'brush_96.96_test_s_unaug')",False,False,True
5518e_00009,0.0007381524621632076,0.0007996159986147009,6,"[0.0010283874059392616, 0.000879655715908699, 0.0013782949937852314, 0.0005699364028492774, 0.0006643651976114717, 0.0007381524621632076]","[0.005019646360163103, 0.003126828234297291, 0.0009133671758168921, 0.0033570373267458194, 0.002216410816163945, 0.0007996159986147009]",1735474630,checkpoint_000005,True,True,2024-12-29_12-17-10,3.380140542984009,23.688851356506348,1464,23d65e8eecf9,172.18.0.2,23.688851356506348,6,"9_datasets=brush_96_96_train_s_mixed_brush_96_96_test_s_mixed,positional_learnable=True,pred_token=True,use_lstm=True","('brush_96.96_train_s_mixed', 'brush_96.96_test_s_mixed')",True,True,True
